key,name,source,me,cp,ee,starch,sugar,ndf,adf,ash,ca,p_total,avp,na,k,cl,zn_mgkg,cu_mgkg,mn_mgkg,fe_mgkg,se_mgkg,i_mgkg,choline_mgkg,riboflavin_mgkg,niacin_mgkg,pantothenic_acid_mgkg,b6_mgkg,b12_mgkg,folate_mgkg,biotin_mgkg
canola_meal,Canola meal,brazilian_tables_5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corn,,,3350,8.5,3.5,,,,,,0.02,,0.06,0.02,0.31,0.03,,,,,,,,,,,,,,
corn_dm_10,,,3426.1,8.693182,,,,,,,0.020455,,0.061364,0.020455,0.317045,0.030682,,,,,,,,,,,,,,
corn_dm_12,,,3350,8.5,,,,,,,0.02,,0.06,0.02,0.31,0.03,,,,,,,,,,,,,,
corn_dm_14,,,3273.9,8.306818,,,,,,,0.019545,,0.058636,0.019545,0.302955,0.029318,,,,,,,,,,,,,,
corn_dm_15,,,3235.8,8.210227,,,,,,,0.019318,,0.057955,0.019318,0.299432,0.028977,,,,,,,,,,,,,,
corn_dm_8,,,3502.3,8.886364,,,,,,,0.020909,,0.062727,0.020909,0.324091,0.031364,,,,,,,,,,,,,,
corn_dm_9,,,3464.2,8.789773,,,,,,,0.020682,,0.062045,0.020682,0.320568,0.031023,,,,,,,,,,,,,,
dcp,,,0,0,,,,,,,23.9,,13.3,0,0,0,,,,,,,,,,,,,,
dl_met,,,0,0,,,,,,,0,,0,0,0,0,,,,,,,,,,,,,,
fish_meal,Fish meal,brazilian_tables_5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l_lys_hcl,,,0,0,,,,,,,0,,0,0,0,19,,,,,,,,,,,,,,
l_thr,,,0,0,,,,,,,0,,0,0,0,0,,,,,,,,,,,,,,
l_trp,,,0,0,,,,,,,0,,0,0,0,0,,,,,,,,,,,,,,
limestone,,,0,0,,,,,,,38,,0,0,0,0,,,,,,,,,,,,,,
mcp,,,0,0,,,,,,,16.7,,19.1,0,0,0,,,,,,,,,,,,,,
oil,,,9000,0,,,,,,,0,,0,0,0,0,,,,,,,,,,,,,,
salt,,,0,0,,,,,,,0,,0,39.34,0,60.66,,,,,,,,,,,,,,
sbm_46,,,2220,46,,,,,,,0.29,,0.17,0.02,2,0.03,,,,,,,,,,,,,,
sbm_48,,,2260,48,,,,,,,0.29,,0.18,0.02,2.09,0.03,,,,,,,,,,,,,,
soy_oil,,,9000,0,,,,,,,0,,0,0,0,0,,,,,,,,,,,,,,
soybean_meal,,,2260,48,,,,,,,0.29,,0.18,0.02,2.09,0.03,,,,,,,,,,,,,,
soybean_meal_48,Soybean meal 48,brazilian_tables_5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wheat_bran,Wheat bran,brazilian_tables_5e,,,,,,,,,,,,,,,,,,,,,,,,,,,,